name,category,description,address,city,phone,website,eligibility,notes,hours,county,served_counties,coverage,state
Kentucky Department of Corrections — Division of Reentry Services,reentry-support,"The Kentucky Department of Corrections Division of Reentry Services coordinates statewide reentry planning for people in state custody or under community supervision. The division oversees 13 Reentry Service Centers across Kentucky and assigns regional reentry coordinators who work with individuals and families before and after release. They help build individualized reentry plans and connect people to housing, employment, benefits, and community partners. This is a planning and referral office—not a crisis or emergency line.",275 East Main Street,Frankfort,(502) 782-2347,https://corrections.ky.gov/Reentry,"Varies by program—generally serves Kentucky residents under DOC custody, supervision, or seeking state reentry services.","For your area, contact the regional Reentry Coordinator listed at corrections.ky.gov/Reentry.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Franklin,,statewide,Kentucky
CTS-Russell (Community Transitional Services),housing,"Kentucky DOC-contracted Reentry Service Center for men in community custody, operated by Community Transitional Services (CTS). Provides licensed transitional housing plus structured programming: Moral Reconation Therapy (MRT), employment preparation, substance use education, and case management aligned with parole and probation requirements. Admissions require a referral from Kentucky DOC Probation and Parole—call to confirm current bed availability.",1407 West Jefferson Street,Louisville,(502) 855-6500,https://c-t-susa.com,"Provides licensed transitional housing plus structured programming: Moral Reconation Therapy (MRT), employment preparation, substance use education, and case management aligned with parole and probation requirements. Admissions require a referral from Kentucky DOC Probation and Parole—call to confirm current bed availability.","Male DOC-contracted Reentry Service Center offering transitional housing, employment preparation, MRT, and reentry programming.","Visitation Saturday–Sunday, 12:00–3:00 p.m.; call for office hours",Jefferson,Jefferson,single,Kentucky
Kentucky Career Center — Lexington (Bluegrass),employment,"Kentucky Career Center – Bluegrass is the American Job Center serving 17 Central Kentucky counties including Fayette, Madison, Jessamine, and Woodford. Free services include job search assistance, resume workshops, career assessment, veterans' services, youth programs, and referrals to training and credentialing. Staff help justice-involved job seekers connect to employment opportunities and barrier-removal resources.","2473 Fortune Drive, Suite 180",Lexington,(859) 267-2223,https://www.ckycareers.com/locations,"Open to all job seekers, including those recently released from incarceration. Core career services are free.","Serves Anderson, Bourbon, Boyle, Clark, Estill, Fayette, Franklin, Garrard, Harrison, Jessamine, Lincoln, Madison, Mercer, Nicholas, Powell, Scott, and Woodford counties.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Fayette,Anderson|Bourbon|Boyle|Clark|Estill|Fayette|Franklin|Garrard|Harrison|Jessamine|Lincoln|Madison|Mercer|Nicholas|Powell|Scott|Woodford,multi,Kentucky
kynect — Medicaid & Benefits Enrollment,healthcare,"kynect is Kentucky's official online portal to apply for Medicaid (including the Kentucky HEALTH plan), SNAP food benefits, KTAP cash assistance, childcare subsidies, and other public benefits. People leaving incarceration can enroll in Medicaid immediately upon release—and under Kentucky's federal 1115 Reentry waiver, eligible individuals may receive up to one year of Medicaid coverage plus pre-release screening starting 60 days before release. Apply online, call the helpline, or visit any DCBS office.",,,1-855-306-8959,https://kynect.ky.gov/benefits/s/,"Open to Kentucky residents in the service area. Medicaid, Medicare, and most insurance accepted; crisis services available regardless of ability to pay.","Medicaid reentry waiver: pre-release screening up to 60 days before release For local DCBS office, visit kynect.ky.gov or call 1-855-306-8959.",Online 24/7; phone support Monday–Friday during business hours,,,statewide,Kentucky
Stepworks Recovery Centers,substance-use-treatment,"Stepworks Recovery Centers operates six Kentucky locations offering medical detox, residential (ASAM 3.5/3.7), and outpatient substance use treatment. Facilities in Elizabethtown, Bowling Green, Nicholasville, London, and Paducah. Medical detox for opioids, alcohol, and benzodiazepines; accepts most insurance including Medicaid. Single statewide access line for referrals and admissions.",,,(800) 545-9031,https://www.stepworks.com/locations/,Adults seeking substance use treatment. Medicaid and private insurance accepted at many locations; call for intake and admission criteria.,Statewide access center: (800) 545-9031. London location is men-only residential. Pregnant women accepted with OB approval. See stepworks.com/insurance for accepted plans.,Call access center 24/7 for admissions,,,statewide,Kentucky
Kentucky Legal Aid — Bowling Green,legal-aid,"Kentucky Legal Aid serves low-income residents in 35 western and south-central Kentucky counties including Warren, Daviess, Christian, and Hopkins. Free civil legal help with housing, public benefits, family matters, and expungement when records create employment or housing barriers. Statewide intake line routes callers to the nearest office in Bowling Green, Owensboro, or Paducah.",1700 Destiny Lane,Bowling Green,(270) 782-1924,https://klaid.org/apply-for-services/,Low-income Kentucky residents. Intake required to confirm income eligibility and whether your legal issue is covered.,Intake: (877) 782-4219,Intake line Mon–Fri during business hours,Warren,Allen|Barren|Breckinridge|Butler|Caldwell|Calloway|Christian|Crittenden|Daviess|Edmonson|Grayson|Green|Hancock|Hardin|Hart|Henderson|Hopkins|Larue|Logan|Lyon|Marion|McCracken|McLean|Meade|Metcalfe|Monroe|Muhlenberg|Ohio|Simpson|Todd|Trigg|Union|Warren|Washington|Webster,multi,Kentucky
Kentucky SNAP Enrollment — kynect,food-nutrition,"Apply for SNAP (Supplemental Nutrition Assistance Program/food stamps) through Kentucky's kynect portal, by phone, or at any DCBS office in all 120 counties. Kentucky has lifted the lifetime ban on SNAP for people with drug-related felony convictions—you may remain eligible if you meet requirements under KRS 205.2005. Benefits loaded on EBT card. Also use kynect for Medicaid and other benefits in one application.",,,1-855-306-8959,https://kynect.ky.gov/benefits/s/,Kentucky has lifted the lifetime ban on SNAP for people with drug-related felony convictions—you may remain eligible if you meet requirements under KRS 205.2005.,Apply at any county DCBS office or online. Same kynect portal as Medicaid and KTAP.,Online 24/7; DCBS offices Mon–Fri business hours,,,statewide,Kentucky
Social Security Administration — Locate an Office,id-documentation,"Use SSA's national office locator to find the nearest Social Security field office anywhere in Kentucky. A Social Security number and card (or SSA verification letter) is required to obtain a Kentucky driver's license or state ID and for most employment. Call 1-800-772-1213 for automated services and appointment scheduling, or visit ssa.gov for online card replacement and benefit applications. As of 2025, in-person field office visits generally require an appointment.",,,1-800-772-1213,https://www.ssa.gov/locator/,Kentucky residents. Returning citizens with felony convictions may use a Felon Release Letter plus certified birth certificate for a standard ID—see program details.,National toll-free: 1-800-772-1213 (Mon–Fri 8 a.m.–7 p.m.). TTY: 1-800-325-0778. Online services at ssa.gov/myaccount for many card and benefit needs.,National phone line Mon–Fri 8:00 a.m.–7:00 p.m.; field office hours vary by location,,,statewide,Kentucky
LIHEAP — Utility Assistance (Community Action Kentucky),financial-assistance,"Low Income Home Energy Assistance Program (LIHEAP) helps eligible Kentucky households pay heating, cooling, and crisis utility bills. Administered through local Community Action Agencies in all 120 counties via Community Action Kentucky (CAPKY). Three components: Subsidy (seasonal, typically November–December), Crisis (heating emergencies, January–March), and Summer Subsidy (cooling, July–September). Income at or below 150% of Federal Poverty Guidelines. Apply at your county's Community Action office—call 1-800-456-3452 or use capky.org/network to find your local agency.",,,1-800-456-3452,https://www.capky.org/resources/,Low-income individuals and families; income guidelines apply for most programs. Criminal history is generally not a barrier.,Call to find your local Community Action office,Local agency hours vary; statewide info line during business hours,,,statewide,Kentucky
TANK — Transit Authority of Northern Kentucky,transportation,"Transit Authority of Northern Kentucky (TANK) provides public bus service in Boone, Campbell, and Kenton counties with connections to downtown Cincinnati. Operates 27 routes, 19 park-and-ride locations, and the RAMP paratransit program for riders with disabilities, 365 days a year. Covington Transit Center on Madison Avenue is a major hub. Essential transportation for NKY residents without vehicles traveling to work, appointments, and Cincinnati-area destinations.",3375 Madison Pike,Fort Wright,(859) 331-8265,https://www.tankbus.org/,"Open to the public; reduced fares may require eligibility documentation (age, disability, or income).","Lost & found and customer service: 859-331-TANK (8265), Mon–Fri 7 a.m.–6 p.m. Schedules and fare info at tankbus.org.",Route hours vary by line; administration Mon–Fri 7:00 a.m.–6:00 p.m.,Kenton,Boone|Bracken|Campbell|Carroll|Gallatin|Grant|Kenton|Owen|Pendleton,multi,Kentucky
